timestamp,cpu,ram,disk,cpu_temp,gpu,gpu_mem_used,gpu_mem_total
2026-04-13T10:19:49.308Z,4.29,64.2,15.36,,30,720,8188
2026-04-13T10:19:54.114Z,22.82,64.5,15.36,,0,720,8188
2026-04-13T10:19:59.120Z,20.14,64.3,15.36,,0,720,8188
2026-04-13T10:20:04.093Z,19.4,64.16,15.36,,12,720,8188
2026-04-13T10:20:09.124Z,20.15,64.56,15.36,,6,720,8188
2026-04-13T10:20:14.122Z,21.9,65.23,15.36,,0,720,8188
2026-04-13T10:20:19.142Z,31.79,71.08,15.36,,0,720,8188
2026-04-13T10:20:24.153Z,19.9,71.2,15.36,,30,720,8188
2026-04-13T10:20:29.228Z,26.09,73.37,15.36,,31,725,8188
2026-04-13T10:20:34.139Z,18.01,73.24,15.36,,0,725,8188
2026-04-13T10:20:39.246Z,17.66,72.49,15.36,,6,725,8188
2026-04-13T10:20:44.204Z,19.33,73.23,15.36,,8,725,8188
2026-04-13T10:20:49.178Z,25.73,73.9,15.36,,0,725,8188
2026-04-13T10:21:21.869Z,4.3,70.9,15.36,,30,725,8188
2026-04-13T10:21:26.866Z,20.4,71.35,15.36,,6,725,8188
2026-04-13T10:21:31.909Z,21.64,71.92,15.36,,0,725,8188
2026-04-13T10:21:36.891Z,26.79,73.81,15.36,,10,753,8188
2026-04-13T10:21:41.863Z,18.83,73.5,15.36,,0,753,8188
2026-04-13T10:21:46.900Z,24.46,74.17,15.36,,0,755,8188
2026-04-13T10:21:51.929Z,20.87,74.13,15.36,,0,755,8188
2026-04-13T10:21:56.856Z,19,74.09,15.36,,0,755,8188
2026-04-13T10:22:01.871Z,16.1,74.05,15.36,,0,755,8188
2026-04-13T10:22:06.884Z,18.8,74.25,15.36,,0,755,8188
2026-04-13T10:22:11.881Z,18.58,74.8,15.36,,0,755,8188
2026-04-13T10:22:16.946Z,20.18,75.03,15.36,,0,755,8188
2026-04-13T10:22:21.930Z,24.01,75.74,15.36,,37,755,8188
2026-04-13T10:22:26.960Z,22.65,75.99,15.36,,0,755,8188
2026-04-13T10:22:32.059Z,23.36,76.97,15.36,,1,755,8188
2026-04-13T10:22:36.993Z,24.74,76.84,15.36,,7,763,8188
2026-04-13T10:22:42.041Z,23.14,77.7,15.36,,34,772,8188
2026-04-13T10:22:46.986Z,23.7,76.73,15.36,,0,766,8188
2026-04-13T10:22:52.100Z,21.54,76.81,15.36,,30,760,8188
2026-04-13T10:22:56.970Z,26.25,67.27,15.36,,39,783,8188
2026-04-13T10:23:01.984Z,20.15,65.86,15.36,,0,783,8188
2026-04-13T10:23:06.987Z,15.27,65.74,15.36,,12,783,8188
2026-04-14T08:46:47.033Z,8.08,64.57,33.94,48.3,35,68,8188
2026-04-14T08:46:51.945Z,2.62,64.86,33.94,46.3,34,68,8188
2026-04-14T08:46:56.965Z,13.92,68.98,33.95,83.4,34,68,8188
2026-04-14T08:47:01.962Z,6.68,69.04,33.95,56.1,34,68,8188
2026-04-14T08:47:06.956Z,7.61,69.3,33.95,51.5,34,68,8188
2026-04-14T08:47:11.986Z,5.06,69.59,33.95,52.8,35,68,8188
2026-04-14T08:47:16.952Z,3.89,69.83,33.95,48.9,35,68,8188
2026-04-14T08:47:21.961Z,7.3,70.96,33.95,52,34,68,8188
2026-04-14T08:47:26.963Z,3.74,69.43,33.95,48.3,35,68,8188
2026-04-14T08:47:31.962Z,2.46,69.18,33.95,47,34,68,8188
2026-04-14T08:47:36.968Z,2.61,68.86,33.95,47,35,68,8188
2026-04-14T08:47:41.998Z,2.57,69.03,33.95,48.1,35,68,8188
2026-04-14T08:47:46.960Z,2.81,69.19,33.95,49,35,68,8188
2026-04-14T08:47:51.979Z,3.59,69.34,33.95,50.1,35,68,8188
2026-04-14T08:47:56.963Z,14.69,71.9,33.95,82.3,34,68,8188
2026-04-14T08:48:01.968Z,7.13,71.98,33.95,61.9,35,68,8188
2026-04-14T08:48:06.998Z,5.31,71.84,33.95,54.3,35,68,8188
2026-04-14T08:48:11.966Z,3.68,71.92,33.95,51.8,35,68,8188
2026-04-14T08:48:16.947Z,6.99,72.09,33.95,57.4,33,68,8188
2026-04-14T08:48:21.957Z,4.18,71.86,33.95,52.9,34,68,8188
